City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-3.409999999999968,83,98,6.75,SJ,1713735174
1,labrador city,52.9463,-66.9114,-0.049999999999954525,43,40,3.09,CA,1713735010
2,port elizabeth,-33.918,25.5701,20.610000000000014,96,20,4.12,ZA,1713735175
3,san antonio de pale,-1.4014,5.6325,28.99000000000001,81,70,2.85,GQ,1713735176
4,vilyuchinsk,52.9306,158.4028,2.150000000000034,85,66,0.37,RU,1713735176
5,ushuaia,-54.8,-68.3,6.810000000000002,76,40,12.35,AR,1713735078
6,college,64.8569,-147.8028,12.180000000000007,33,0,0.0,US,1713734938
7,benghazi,32.1167,20.0667,25.379999999999995,24,100,13.38,LY,1713735178
8,adamstown,-25.066,-130.1015,22.360000000000014,71,83,9.09,PN,1713734927
9,sisimiut,66.9395,-53.6735,1.4700000000000273,90,99,12.6,GL,1713735166
10,st. john's,47.5649,-52.7093,7.0400000000000205,94,100,9.77,CA,1713735182
11,grytviken,-54.2811,-36.5092,2.920000000000016,95,100,2.88,GS,1713734895
12,blackmans bay,-43.0167,147.3167,10.07000000000005,92,14,1.82,AU,1713735183
13,kavaratti,10.5669,72.642,29.78000000000003,78,63,4.88,IN,1713734964
14,puerto ayora,-0.7393,-90.3518,30.980000000000018,92,23,1.79,EC,1713735184
15,port-aux-francais,-49.35,70.2167,5.2000000000000455,69,8,11.46,TF,1713735184
16,barah,13.7,30.3667,29.860000000000014,13,51,4.96,SD,1713735184
17,atafu village,-8.5421,-172.5159,29.57000000000005,77,48,5.43,TK,1713735185
18,englewood,39.6478,-104.9878,18.950000000000045,38,20,3.09,US,1713735185
19,margaret river,-33.95,115.0667,16.52000000000004,76,96,7.85,AU,1713734954
20,ust-nera,64.5667,143.2,-2.919999999999959,90,100,1.03,RU,1713735202
21,petropavlovsk-kamchatsky,53.0452,158.6483,1.330000000000041,97,40,5.0,RU,1713735204
22,pisco,-13.7,-76.2167,25.03000000000003,69,0,7.72,PE,1713735204
23,sola,-13.8833,167.55,28.510000000000048,79,97,3.5,VU,1713735204
24,diffa,13.3154,12.6113,33.379999999999995,11,9,2.63,NE,1713735205
25,puerto natales,-51.7236,-72.4875,8.25,57,75,5.66,CL,1713734917
26,daru,-9.0763,143.2092,27.720000000000027,88,99,3.65,PG,1713735208
27,kodiak,57.79,-152.4072,5.730000000000018,75,100,3.09,US,1713735209
28,paranaiba,-19.6772,-51.1908,25.640000000000043,57,11,1.55,BR,1713735209
29,afaahiti,-17.75,-149.2833,24.930000000000007,76,55,3.43,PF,1713735209
30,hamilton,39.1834,-84.5333,12.730000000000018,47,75,4.63,US,1713735108
31,tolanaro,-25.0319,46.9987,23.04000000000002,88,75,0.0,MG,1713734985
32,urengoy,65.9667,78.3667,-16.079999999999984,96,100,4.55,RU,1713735218
33,new norfolk,-42.7826,147.0587,10.720000000000027,90,22,1.31,AU,1713735218
34,enewetak,11.3474,162.3373,27.879999999999995,74,77,6.99,MH,1713735218
35,sierra grande,-41.606,-65.3557,10.57000000000005,49,92,4.52,AR,1713735219
36,linxia chengguanzhen,35.6003,103.2064,8.310000000000002,47,100,1.18,CN,1713735220
37,cockburn town,21.4612,-71.1419,26.980000000000018,61,40,8.23,TC,1713735195
38,kruisfontein,-34.0033,24.7314,19.379999999999995,86,100,1.82,ZA,1713735221
39,mount gambier,-37.8333,140.7667,6.890000000000043,94,7,1.86,AU,1713735221
40,stanley,54.868,-1.6985,5.710000000000036,90,40,1.03,GB,1713735011
41,hermanus,-34.4187,19.2345,15.620000000000005,91,30,3.43,ZA,1713735222
42,al bawiti,28.3492,28.8659,21.150000000000034,23,1,3.03,EG,1713735222
43,altai,46.3722,96.2583,-5.259999999999991,52,0,3.59,MN,1713735223
44,edinburgh of the seven seas,-37.0676,-12.3116,16.930000000000007,79,44,7.96,SH,1713735224
45,waitangi,-43.9535,-176.5597,14.340000000000032,93,55,2.68,NZ,1713735225
46,hawaiian paradise park,19.5933,-154.9731,24.370000000000005,93,100,2.06,US,1713735225
47,aldinga beach,-35.2793,138.4604,14.670000000000016,52,1,2.32,AU,1713735227
48,manaure,11.7751,-72.4445,31.160000000000025,57,99,5.65,CO,1713735227
49,jamestown,42.097,-79.2353,6.3700000000000045,54,100,6.26,US,1713735227
50,polyarnyy,69.1989,33.4478,-12.310000000000002,86,76,2.56,RU,1713735228
51,cukai,4.25,103.4167,25.970000000000027,90,93,0.92,MY,1713734959
